Date Time,measured_power
1/1/2018,4793.18
1/2/2018,4788.43
1/3/2018,4795.49
1/4/2018,1758.24
1/5/2018,1677.02
1/6/2018,1684.94
1/7/2018,1690.42
1/8/2018,1691.28
1/9/2018,1688.83
1/10/2018,1688.69
1/11/2018,1684.37
1/12/2018,2118.67
1/13/2018,2401.78
1/14/2018,2407.54
1/15/2018,2406.1
1/16/2018,2406.67
1/17/2018,2404.8
1/18/2018,2406
1/19/2018,2404.37
1/20/2018,2406.96
1/21/2018,2409.55
1/22/2018,2407.82
1/23/2018,2409.26
1/24/2018,2406.1
1/25/2018,2407.68
1/26/2018,2411.71
1/27/2018,2411.28
1/28/2018,2403.36
1/29/2018,2399.9
1/30/2018,2403.22
1/31/2018,2406.82
2/1/2018,2411.86
2/2/2018,2401.92
2/3/2018,2404.37
2/4/2018,2397.46
2/5/2018,2396.16
2/6/2018,2395.3
2/7/2018,2396.74
2/8/2018,3207.6
2/9/2018,4815.65
2/10/2018,4807.15
2/11/2018,4809.74
2/12/2018,4811.04
2/13/2018,4816.8
2/14/2018,4811.1
2/15/2018,4817
2/16/2018,4809.1
2/17/2018,4821.26
2/18/2018,4814.21
2/19/2018,4809.6
2/20/2018,4801.97
2/21/2018,4798.08
2/22/2018,4804.7
2/23/2018,4799.38
2/24/2018,4810.46
2/25/2018,4805.42
2/26/2018,4809.31
2/27/2018,4813.49
2/28/2018,4811.62
3/1/2018,4756.03
3/2/2018,4389.41
3/3/2018,4333.39
3/4/2018,4333.39
3/5/2018,4330.51
3/6/2018,4342.9
3/7/2018,4349
3/8/2018,4354.07
3/9/2018,4350.24
3/10/2018,4336.56
3/11/2018,4158.29
3/11/2018,3914.35
3/12/2018,4105.44
3/13/2018,4104.14
3/14/2018,4113.79
3/15/2018,3982.9
3/16/2018,3851.86
3/17/2018,3855.17
3/18/2018,3858.05
3/19/2018,3853.15
3/20/2018,3857.62
3/21/2018,3843.79
3/22/2018,3852.86
3/23/2018,3843.22
3/24/2018,3846.24
3/25/2018,3851.42
3/26/2018,3721.68
3/27/2018,3622.18
3/28/2018,3610.22
3/29/2018,3607.49
3/30/2018,3607.06
3/31/2018,3605.33
4/1/2018,3603.46
4/2/2018,2913.41
4/3/2018,2961.07
4/4/2018,3599.86
4/5/2018,3594.82
4/6/2018,3598.85
4/7/2018,3594.53
4/8/2018,3591.5
4/9/2018,3184.99
4/10/2018,3606.77
4/11/2018,3611.52
4/12/2018,3602.45
4/13/2018,3780.86
4/14/2018,3850.99
4/15/2018,3843.07
4/16/2018,3847.54
4/17/2018,3850.27
4/18/2018,3868.56
4/19/2018,3848.69
4/20/2018,3974.69
4/21/2018,4091.9
4/22/2018,4087.87
4/23/2018,4081.82
4/24/2018,4090.32
4/25/2018,4252.46
4/26/2018,4323.74
4/27/2018,4321.58
4/28/2018,4318.13
4/29/2018,4322.59
4/30/2018,4335.98
5/1/2018,4333.43
5/2/2018,4508.5
5/3/2018,4571.28
5/4/2018,4582.22
5/5/2018,4578.77
5/6/2018,4585.68
5/7/2018,4601.38
5/8/2018,2563.49
5/9/2018,2528.64
5/10/2018,2409.98
5/11/2018,2407.25
5/12/2018,2325.74
5/13/2018,2301.12
5/14/2018,2406.67
5/15/2018,2406.82
5/16/2018,2410.27
5/17/2018,2406.38
5/18/2018,2201.39
5/19/2018,2420.06
5/20/2018,2419.06
5/21/2018,2418.05
5/22/2018,2414.02
5/23/2018,3640.46
5/24/2018,4823.14
5/25/2018,4812.05
5/26/2018,4818.96
5/27/2018,4822.42
5/28/2018,4812.48
5/29/2018,4817.79
5/30/2018,4813.2
5/31/2018,4809.02
6/1/2018,4814.35
6/2/2018,4826.45
6/3/2018,4820.4
6/4/2018,4821.84
6/5/2018,4814.78
6/6/2018,4806.71
6/7/2018,4793.18
6/8/2018,2403.79
6/9/2018,2172.38
6/10/2018,2408.69
6/11/2018,2412
6/12/2018,2410.42
6/13/2018,2413.3
6/14/2018,2410.7
6/15/2018,2406.1
6/16/2018,2410.7
6/17/2018,2410.56
6/18/2018,2423.38
6/19/2018,4824.72
6/20/2018,4819.39
6/21/2018,4807.01
6/22/2018,4821.26
6/23/2018,4818.24
6/24/2018,4817.09
6/25/2018,4814.5
6/26/2018,4522.61
6/27/2018,4649.04
6/28/2018,4836.24
6/29/2018,4822.27
6/30/2018,4826.74
7/1/2018,4811.76
7/2/2018,4804.85
7/3/2018,5721.41
7/4/2018,6026.69
7/5/2018,6032.74
7/6/2018,8827.2
7/7/2018,10862.06
7/8/2018,10840.75
7/9/2018,10826.06
7/10/2018,10842.48
7/11/2018,10839.89
7/12/2018,10722.67
7/13/2018,10839.74
7/14/2018,10840.03
7/15/2018,10818.58
7/16/2018,10822.32
7/17/2018,10842.62
7/18/2018,10832.26
7/19/2018,7727.62
7/20/2018,10815.55
7/21/2018,10820.88
7/22/2018,10823.18
7/23/2018,10818
7/24/2018,5731.92
7/25/2018,10870.7
7/26/2018,9008.93
7/27/2018,9177.41
7/28/2018,10852.13
7/29/2018,10827.79
7/30/2018,9473.18
7/31/2018,10842.62
8/1/2018,10852.85
8/2/2018,10861.2
8/3/2018,10858.32
8/4/2018,10852.99
8/5/2018,10652.54
8/6/2018,10855.01
8/7/2018,10839.89
8/8/2018,10837.3
8/9/2018,10045.73
8/10/2018,10854.58
8/11/2018,10855.73
8/12/2018,10852.13
8/13/2018,10837.73
8/14/2018,10826.35
8/15/2018,10819.58
8/16/2018,8094.67
8/17/2018,7971.26
8/18/2018,7976.45
8/19/2018,7964.06
8/20/2018,7951.25
8/21/2018,7944.91
8/22/2018,7964.64
8/23/2018,7973.14
8/24/2018,7939.44
8/25/2018,7919.14
8/26/2018,7881.7
8/27/2018,7867.44
8/28/2018,7866.29
8/29/2018,7900.64
8/30/2018,7873.28
8/31/2018,7857.07
9/1/2018,7120.51
9/2/2018,6594.34
9/3/2018,6226.42
9/4/2018,5654.59
9/5/2018,5635.58
9/6/2018,5607.65
9/7/2018,5599.87
9/8/2018,5603.33
9/9/2018,5647.97
9/10/2018,5641.63
9/11/2018,5642.21
9/12/2018,5632.42
9/13/2018,5620.61
9/14/2018,5612.54
9/15/2018,5601.31
9/16/2018,4946.69
9/17/2018,4575.74
9/18/2018,4561.34
9/19/2018,4557.02
9/20/2018,4548.67
9/21/2018,2409.7
9/22/2018,2412
9/23/2018,2407.97
9/24/2018,1441.01
9/25/2018,1436.4
9/26/2018,1435.39
9/27/2018,1435.39
9/28/2018,1431.94
9/29/2018,1434.53
9/30/2018,1430.64
10/1/2018,1445.18
10/2/2018,1446
10/3/2018,1514.74
10/4/2018,1433.81
10/5/2018,1440
10/6/2018,1434.96
10/7/2018,1432.51
10/8/2018,1439.28
10/9/2018,1437.26
10/10/2018,1436.11
10/11/2018,1437.55
10/12/2018,1438.27
10/13/2018,1432.37
10/14/2018,1409.18
10/15/2018,1508.54
10/16/2018,1548.86
10/17/2018,1461.89
10/18/2018,1449.07
10/19/2018,1442.45
10/20/2018,1433.23
10/21/2018,1434.1
10/22/2018,1607.04
10/23/2018,5927.76
10/24/2018,3398.4
10/25/2018,1548.43
10/26/2018,1553.62
10/27/2018,1556.5
10/28/2018,1552.75
10/29/2018,1559.09
10/30/2018,1552.03
10/31/2018,1557.22
11/1/2018,1581.7
11/2/2018,1575.65
11/3/2018,1578.53
11/5/2018,1641.31
11/6/2018,1580.83
11/7/2018,1578.96
11/8/2018,1581.26
11/9/2018,1578.82
11/10/2018,1576.94
11/11/2018,1577.23
11/12/2018,1576.37
11/13/2018,1581.84
11/14/2018,1581.12
11/15/2018,1583.42
11/16/2018,1579.97
11/17/2018,1580.26
11/18/2018,1581.98
11/19/2018,1576.08
11/20/2018,1586.45
11/21/2018,1568.88
11/22/2018,1550.16
11/23/2018,1550.74
11/24/2018,1554.34
11/25/2018,1551.02
11/26/2018,1553.04
11/27/2018,1556.21
11/28/2018,1549
11/29/2018,1550.74
11/30/2018,1546.99
12/1/2018,1541.52
12/2/2018,1545.55
12/3/2018,1547.57
12/4/2018,1555.63
12/5/2018,1560.67
12/6/2018,1558.37
12/7/2018,1551.46
12/8/2018,1553.47
12/9/2018,1554.48
12/10/2018,1553.76
12/11/2018,1557.65
12/12/2018,1557.67
12/13/2018,1554.05
12/14/2018,1547.42
12/15/2018,1549.3
12/16/2018,1544.54
12/17/2018,1545.26
12/18/2018,1610.06
12/19/2018,1565.86
12/20/2018,1558.08
12/21/2018,1560.53
12/22/2018,1558.66
12/23/2018,1558.66
12/24/2018,1559.95
12/25/2018,1551.17
12/26/2018,1555.78
12/27/2018,1551.02
12/28/2018,1545.26
12/29/2018,1547.86
12/30/2018,1555.06